CN,CNAME,C_SN,C_SNAME,MPROF,MPROFP,MTEST,RPROF,RPROFP,RTEST,SPROF,SPROFP,SSPROF,SSPROFP,SSTEST,STEST
033,Harrison  ,233,Nutter Fort Intermediate School         ,74,42.7700,173,69,39.8800,173,73,42.9400,67,39.4100,170,170
033,Harrison  ,234,Salem Elementary                        ,19,54.2800,35,17,48.5700,35,19,54.2800,17,48.5700,35,35
035,Jackson   ,201,Cottageville Elementary School          ,10,45.4500,22,11,50.0000,22,7,31.8100,12,54.5400,22,22
035,Jackson   ,203,Evans Elementary School                 ,17,58.6200,29,19,65.5100,29,19,65.5100,18,62.0600,29,29
035,Jackson   ,204,Fairplain Elementary School             ,14,58.3300,24,19,79.1600,24,12,50.0000,12,50.0000,24,24
035,Jackson   ,205,Gilmore Elementary School               ,9,36.0000,25,10,40.0000,25,11,44.0000,12,48.0000,25,25
035,Jackson   ,206,Kenna Elementary School                 ,31,56.3600,55,32,58.1800,55,30,54.5400,27,49.0900,55,55
035,Jackson   ,208,Ravenswood Grade School                 ,43,43.8700,98,34,34.6900,98,29,30.8500,23,24.4600,94,94
035,Jackson   ,209,Ripley Elementary School                ,41,39.8000,103,41,39.8000,103,32,32.0000,38,38.0000,100,100
037,Jefferson ,201,Blue Ridge Elementary School            ,28,37.3300,75,28,37.3300,75,34,45.3300,31,41.8900,74,75
037,Jefferson ,202,North Jefferson Elementary              ,20,55.5500,36,15,41.6600,36,20,57.1400,13,37.1400,35,35
037,Jefferson ,204,Ranson Elementary School                ,30,46.1500,65,27,41.5300,65,31,47.6900,25,38.4600,65,65
037,Jefferson ,205,Shepherdstown Elementary School         ,29,48.3300,60,26,43.3300,60,35,58.3300,36,60.0000,60,60
037,Jefferson ,206,C.W. Shipley Elementary School          ,49,73.1300,67,45,67.1600,67,46,68.6500,44,65.6700,67,67
037,Jefferson ,207,South Jefferson Elementary School       ,49,56.9700,86,44,51.1600,86,65,75.5800,43,50.5800,85,86
037,Jefferson ,208,Wright Denny Intermediate School        ,66,50.3800,131,54,41.2200,131,72,54.9600,58,44.2700,131,131
037,Jefferson ,209,T A Lowery Elementary School            ,42,52.5000,80,53,66.2500,80,42,56.7500,38,51.3500,74,74
037,Jefferson ,210,Driswood Elementary School              ,45,58.4400,77,51,66.2300,77,58,76.3100,48,63.1500,76,76
039,Kanawha   ,201,Alban Elementary School                 ,28,45.9000,61,33,54.0900,61,22,36.6600,26,43.3300,60,60
039,Kanawha   ,202,Alum Creek Elementary School            ,7,31.8100,22,6,27.2700,22,11,50.0000,7,31.8100,22,22
039,Kanawha   ,203,Andrews Heights Elementary School       ,12,29.2600,41,17,41.4600,41,15,36.5800,15,36.5800,41,41
039,Kanawha   ,204,Anne Bailey Elementary School           ,19,39.5800,48,18,37.5000,48,19,39.5800,15,31.2500,48,48
039,Kanawha   ,206,Belle Elementary School                 ,20,47.6100,42,16,38.0900,42,22,52.3800,14,33.3300,42,42
039,Kanawha   ,211,Bridge Elementary School                ,11,47.8200,23,8,34.7800,23,6,26.0800,8,34.7800,23,23
039,Kanawha   ,213,Cedar Grove Elementary School           ,13,31.7000,41,14,34.1400,41,9,23.0700,10,25.0000,40,39
039,Kanawha   ,214,Central Elementary School               ,31,44.2800,70,28,40.0000,70,30,43.4700,30,43.4700,69,69
039,Kanawha   ,215,Chamberlain Elementary School           ,20,54.0500,37,23,62.1600,37,19,51.3500,17,45.9400,37,37
039,Kanawha   ,218,Chesapeake Elementary School            ,7,30.4300,23,8,34.7800,23,9,39.1300,10,43.4700,23,23
039,Kanawha   ,219,Clendenin Elementary School             ,22,40.0000,55,21,38.1800,55,18,32.7200,20,36.3600,55,55
039,Kanawha   ,220,Cross Lanes Elementary School           ,37,66.0700,56,36,64.2800,56,32,58.1800,31,55.3500,56,55
039,Kanawha   ,226,Flinn Elementary School                 ,63,51.6300,122,70,57.3700,122,57,46.7200,48,39.3400,122,122
039,Kanawha   ,231,Grandview Elementary School             ,8,23.5200,34,9,26.4700,34,4,11.7600,5,14.7000,34,34
039,Kanawha   ,234,Holz Elementary School                  ,26,52.0000,50,28,56.0000,50,39,78.0000,25,50.0000,50,50
039,Kanawha   ,235,Kanawha City Elementary School          ,23,54.7600,42,23,54.7600,42,19,46.3400,18,43.9000,41,41
039,Kanawha   ,237,Kenna Elementary School                 ,14,77.7700,18,18,100.0000,18,15,83.3300,15,83.3300,18,18
039,Kanawha   ,239,Lakewood Elementary School              ,29,53.7000,54,31,57.4000,54,27,50.0000,26,48.1400,54,54
039,Kanawha   ,241,Malden Elementary School                ,11,37.9300,29,8,27.5800,29,6,22.2200,6,22.2200,27,27
039,Kanawha   ,242,Marmet Elementary School                ,14,66.6600,21,14,66.6600,21,11,52.3800,13,61.9000,21,21
039,Kanawha   ,243,Mary Ingles Elementary School           ,10,33.3300,30,11,36.6600,30,4,13.3300,3,10.0000,30,30
039,Kanawha   ,244,Midland Trail Elementary School         ,9,27.2700,33,12,36.3600,33,8,25.0000,9,28.1200,32,32
039,Kanawha   ,246,Montrose Elementary School              ,33,51.5600,64,33,51.5600,64,26,40.6200,31,48.4300,64,64
039,Kanawha   ,248,Nitro Elementary School                 ,27,44.2600,61,28,45.9000,61,18,30.5000,22,37.2800,59,59
039,Kanawha   ,250,Overbrook Elementary School             ,48,59.2500,81,42,51.8500,81,42,51.8500,46,56.7900,81,81
039,Kanawha   ,253,Pinch Elementary School                 ,34,58.6200,58,37,63.7900,58,28,48.2700,36,62.0600,58,58
039,Kanawha   ,254,Point Harmony Elementary School         ,49,52.6800,93,51,54.8300,93,50,53.7600,40,43.0100,93,93
039,Kanawha   ,255,Pratt Elementary School                 ,11,23.9100,46,18,39.1300,46,14,30.4300,18,39.1300,46,46
039,Kanawha   ,257,Richmond Elementary School              ,16,51.6100,31,16,51.6100,31,6,19.3500,11,35.4800,31,31
039,Kanawha   ,258,J E Robins Elementary School            ,10,32.2500,31,10,32.2500,31,4,12.9000,8,25.8000,31,31
039,Kanawha   ,260,Ruffner Elementary School               ,25,40.3200,62,20,32.2500,62,23,37.0900,21,33.8700,62,62
039,Kanawha   ,261,Ruthlawn Elementary School              ,23,57.5000,40,23,57.5000,40,21,52.5000,23,57.5000,40,40
039,Kanawha   ,262,Sharon Dawes Elementary School          ,14,38.8800,36,15,41.6600,36,11,30.5500,9,25.0000,36,36
039,Kanawha   ,263,Shoals Elementary School                ,18,48.6400,37,17,45.9400,37,18,48.6400,17,45.9400,37,37
039,Kanawha   ,264,Sissonville Elementary School           ,21,47.7200,44,18,40.9000,44,22,53.6500,16,39.0200,41,41
039,Kanawha   ,274,Watts Elementary School                 ,8,40.0000,20,8,40.0000,20,5,25.0000,5,25.0000,20,20
039,Kanawha   ,275,Weberwood Elementary School             ,22,57.8900,38,28,73.6800,38,25,65.7800,24,63.1500,38,38
039,Kanawha   ,276,George C. Weimer Elementary School      ,5,33.3300,15,2,13.3300,15,1,6.6600,1,6.6600,15,15
039,Kanawha   ,279,Elk Elementary Center                   ,45,45.0000,100,40,40.0000,100,44,46.8000,35,38.4600,91,94
039,Kanawha   ,280,Bridgeview Elementary School            ,24,27.2700,88,26,29.5400,88,19,23.1700,22,26.8200,82,82
039,Kanawha   ,282,Piedmont Year-Round Education           ,10,22.7200,44,15,34.0900,44,7,15.9000,12,27.2700,44,44
039,Kanawha   ,283,Dunbar Intermediate Center              ,32,35.9500,89,29,32.5800,89,26,29.5400,21,23.8600,88,88
039,Kanawha   ,284,West Side Elementary School             ,11,14.4700,76,16,21.0500,76,13,17.1000,12,15.7800,76,76
041,Lewis     ,201,Alum Bridge Elementary School           ,12,75.0000,16,7,43.7500,16,6,37.5000,7,43.7500,16,16
041,Lewis     ,205,Roanoke Elementary School               ,6,24.0000,25,8,32.0000,25,4,16.6600,6,25.0000,24,24
041,Lewis     ,207,Peterson-Central Elementary School      ,19,27.9400,68,24,35.2900,68,18,26.4700,9,13.2300,68,68
041,Lewis     ,208,Jane Lew Elementary School              ,13,27.6500,47,18,38.2900,47,15,32.6000,16,34.7800,46,46
043,Lincoln   ,101,Duval PK-8                              ,20,41.6600,48,24,50.0000,48,22,45.8300,19,39.5800,48,48
043,Lincoln   ,102,Hamlin PK-8                             ,20,38.4600,52,29,55.7600,52,24,47.0500,24,47.0500,51,51
043,Lincoln   ,103,Harts PK-08                             ,14,43.7500,32,13,43.3300,30,11,34.3700,7,21.8700,32,32
043,Lincoln   ,212,Midway Elementary School                ,18,33.9600,53,17,32.0700,53,21,40.3800,21,40.3800,52,52
043,Lincoln   ,214,Ranger Elementary School                ,10,37.0300,27,12,44.4400,27,6,22.2200,10,37.0300,27,27
043,Lincoln   ,215,West Hamlin Elementary School           ,32,43.8300,73,40,54.7900,73,34,47.2200,34,47.2200,72,72
045,Logan     ,101,Omar Elementary School                  ,11,26.8200,41,17,41.4600,41,9,21.9500,12,29.2600,41,41
045,Logan     ,203,Buffalo Elementary School               ,12,32.4300,37,19,51.3500,37,11,29.7200,9,24.3200,37,37
045,Logan     ,204,Chapmanville East Elementary School     ,33,42.3000,78,35,44.8700,78,30,38.4600,29,37.1700,78,78
045,Logan     ,209,Holden Central Elementary School        ,11,30.5500,36,14,38.8800,36,5,13.8800,6,17.1400,35,36
045,Logan     ,210,Hugh Dingess Elementary School          ,7,38.8800,18,11,61.1100,18,11,61.1100,8,44.4400,18,18
045,Logan     ,211,Justice Elementary School               ,10,41.6600,24,9,37.5000,24,11,45.8300,7,29.1600,24,24
045,Logan     ,213,Logan Elementary School                 ,25,36.2300,69,30,43.4700,69,19,27.5300,11,15.9400,69,69
045,Logan     ,217,South Man Elementary School             ,9,60.0000,15,8,53.3300,15,4,26.6600,6,40.0000,15,15
045,Logan     ,221,Verdunville Elementary School           ,10,41.6600,24,11,45.8300,24,8,33.3300,4,16.6600,24,24
045,Logan     ,222,West Chapmanville Elementary School     ,24,35.8200,67,29,43.2800,67,14,21.8700,13,20.3100,64,64
045,Logan     ,227,Man Elementary School                   ,23,37.7000,61,20,32.7800,61,13,22.4100,12,20.6800,58,58
047,Marion    ,101,Barrackville Elementary/Middle School   ,15,36.5800,41,20,48.7800,41,22,53.6500,14,34.1400,41,41
047,Marion    ,102,Rivesville Elementary/Middle School     ,21,61.7600,34,17,50.0000,34,19,55.8800,18,52.9400,34,34
047,Marion    ,205,East Dale Elementary School             ,54,57.4400,94,46,48.9300,94,55,59.1300,46,49.4600,93,93
047,Marion    ,206,East Park Elementary School             ,32,62.7400,51,30,58.8200,51,30,60.0000,24,48.0000,50,50
047,Marion    ,207,Fairview Elementary School              ,15,45.4500,33,12,36.3600,33,19,57.5700,11,33.3300,33,33
047,Marion    ,209,Jayenne Elementary School               ,29,51.7800,56,28,50.0000,56,21,37.5000,21,37.5000,56,56
047,Marion    ,211,Monongah Elementary School              ,22,37.2800,59,21,35.5900,59,25,42.3700,25,42.3700,59,59
047,Marion    ,212,Pleasant Valley Elementary School       ,23,56.0900,41,26,63.4100,41,25,62.5000,23,57.5000,40,40
047,Marion    ,214,Watson Elementary School                ,31,46.2600,67,38,56.7100,67,21,31.3400,27,40.2900,67,67
047,Marion    ,215,White Hall Elementary School            ,29,69.0400,42,28,66.6600,42,29,69.0400,23,54.7600,42,42
047,Marion    ,216,Blackshere Elementary School            ,27,38.0200,71,28,38.8800,72,24,33.8000,21,29.5700,71,71
048,Marshall  ,202,Cameron Elementary School               ,11,22.4400,49,15,30.6100,49,12,24.4800,11,22.4400,49,49
048,Marshall  ,203,Central Elementary School               ,43,44.7900,96,33,34.3700,96,36,37.8900,26,27.3600,95,95
048,Marshall  ,204,Glen Dale Elementary School             ,16,66.6600,24,11,45.8300,24,11,47.8200,10,43.4700,23,23
048,Marshall  ,206,Center McMechen Elementary School       ,14,53.8400,26,8,30.7600,26,13,50.0000,6,23.0700,26,26
048,Marshall  ,212,Washington Lands Elementary School      ,32,48.4800,66,33,50.0000,66,21,32.3000,25,38.4600,65,65
048,Marshall  ,213,Hilltop Elementary School               ,36,62.0600,58,35,60.3400,58,32,56.1400,28,48.2700,58,57
049,Mason     ,201,Beale Elementary School                 ,10,27.7700,36,14,38.8800,36,12,33.3300,13,36.1100,36,36
049,Mason     ,210,New Haven Elementary School             ,24,35.2900,68,35,51.4700,68,27,39.7000,29,42.6400,68,68
049,Mason     ,213,Roosevelt Elementary School             ,16,32.0000,50,23,46.0000,50,11,22.0000,17,34.0000,50,50
049,Mason     ,216,Ashton Elementary School                ,18,35.2900,51,14,27.4500,51,17,33.3300,21,41.1700,51,51
049,Mason     ,218,Pt. Pleasant Intermediate               ,24,23.5200,102,26,25.4900,102,31,31.0000,23,23.0000,100,100
051,Mercer    ,201,Athens School                           ,13,37.1400,35,10,28.5700,35,9,25.7100,8,22.8500,35,35
051,Mercer    ,202,Bluewell Elementary School              ,11,40.7400,27,12,44.4400,27,10,37.0300,12,44.4400,27,27
051,Mercer    ,204,Brushfork Elementary School             ,9,29.0300,31,8,25.8000,31,12,38.7000,8,25.8000,31,31
051,Mercer    ,205,Ceres Elementary School                 ,8,33.3300,24,6,25.0000,24,3,12.5000,3,12.5000,24,24
051,Mercer    ,208,Glenwood School                         ,27,33.3300,81,22,27.1600,81,25,33.3300,22,28.5700,77,75
051,Mercer    ,210,Lashmeet/Matoaka School                 ,12,31.5700,38,9,23.6800,38,11,28.9400,9,23.6800,38,38
051,Mercer    ,212,Melrose Elementary School               ,21,48.8300,43,20,46.5100,43,25,59.5200,23,54.7600,42,42
051,Mercer    ,214,Mercer Elementary School                ,40,32.7800,122,39,31.9600,122,35,29.6600,32,26.8900,119,118
051,Mercer    ,215,Montcalm Elementary School              ,17,45.9400,37,18,48.6400,37,10,27.7700,12,33.3300,36,36
051,Mercer    ,216,Oakvale School                          ,5,35.7100,14,2,14.2800,14,4,28.5700,5,35.7100,14,14
051,Mercer    ,220,Spanishburg School                      ,6,21.4200,28,8,28.5700,28,8,28.5700,8,28.5700,28,28
051,Mercer    ,221,Straley Elementary School               ,23,36.5000,63,29,46.0300,63,15,23.8000,14,22.2200,63,63
051,Mercer    ,222,Sun Valley Elementary School            ,6,37.5000,16,3,18.7500,16,3,18.7500,4,25.0000,16,16
051,Mercer    ,240,Bluefield Intermediate                  ,45,38.1300,118,36,30.5000,118,23,20.1700,24,21.0500,114,114
